"order_id","customer_id","amount","order_date","order_date_datetime","quantity","product"
"1000304738353","1345047658545",64.9800000000,2019-07-12,2019-07-12 09:38:24,2,"132-BURN|416-IO-PB"
"1000672886833","543230296113",22.5000000000,2019-07-12,2019-07-12 14:48:35,1,"400"
"1000722366513","1345466040369",43.7900000000,2019-07-12,2019-07-12 15:33:16,1,"414-IO-FC"
"1001117384753","737243430961",72.4800000000,2019-07-12,2019-07-12 22:11:46,4,"132-CLEANSE|416-IO-PB|417-IO-BH"
"100119969799","105621684231",26.8000000000,2018-01-11,2018-01-11 23:21:24,1,"301-FCH"
"1001493430321","1181880090673",27.1800000000,2019-07-13,2019-07-13 08:55:19,1,"132-FDM"
"100367433735","105854894087",94.4700000000,2018-01-12,2018-01-12 11:00:27,3,"135-CTC-I"
"1004525191217","661632843825",30.1700000000,2019-07-14,2019-07-14 17:02:34,1,"413-IO-VN"
"1004594593841","1353408544817",59.9900000000,2019-07-14,2019-07-14 17:38:33,1,"416-IO-PB"
"1004835340337","682638311473",28.0000000000,2019-07-14,2019-07-14 19:49:00,1,"417-IO-BH"
"1005833781297","748448874545",107.9800000000,2019-07-15,2019-07-15 06:40:36,2,"132-V2"
"1005958856753","197115412529",21.4500000000,2019-07-15,2019-07-15 07:56:28,1,"414-IO-FC"
"1006298333233","545527726129",135.9900000000,2019-07-15,2019-07-15 11:14:14,3,"141|136|161"
"1006454702129","1031788888113",54.4000000000,2019-07-15,2019-07-15 12:30:32,1,"132-X-R2"
"1006739718193","406659235889",39.9900000000,2019-07-15,2019-07-15 14:43:37,1,"412-IO-CH"
"1007283666993","749994934321",101.4800000000,2019-07-15,2019-07-15 19:05:49,3,"137|416-IO-PB|408"
"1007321415729","1355653480497",64.9800000000,2019-07-15,2019-07-15 19:26:54,2,"132-BURN|417-IO-BH"
"1007707586609","393459859505",21.4500000000,2019-07-15,2019-07-15 22:54:57,1,"413-IO-VN"
"1008454795313","1252699897905",17.5000000000,2019-07-16,2019-07-16 07:27:27,1,"132-CONTROL"
"1008524361777","384088080433",59.9900000000,2019-07-16,2019-07-16 08:13:11,3,"416-IO-PB|413-IO-VN|128-BP-20X-R2"
