timestamp,Open,High,Low,Close,Volume,symbol,updated_at,EMA50,EMA200,rsa14,sar,macd,macdsignal,macdhist,slowk,slowkd,upperband,middleband,lowerband
2016-08-19,625.0,625.0,620.725,623.55,2055318,HDFCBANK,2020-04-17 03:06:45,,,,,,,,,,,,
2016-08-22,622.525,627.225,620.5,625.15,2750646,HDFCBANK,2020-04-17 03:06:45,,,,627.225,,,,,,,,
2016-08-23,625.5,627.0,623.025,625.725,2657262,HDFCBANK,2020-04-17 03:06:45,,,,627.225,,,,,,,,
2016-08-24,626.025,632.1,623.525,630.9,2785468,HDFCBANK,2020-04-17 03:06:45,,,,620.5,,,,,,,,
2016-08-25,632.0,633.4,627.15,629.275,4364944,HDFCBANK,2020-04-17 03:06:45,,,,620.732,,,,,,632.3829113117575,626.92,621.4570886882424
2016-08-26,630.0,630.95,626.95,628.55,1260568,HDFCBANK,2020-04-17 03:06:45,,,,621.23872,,,,,,632.2655034230456,627.9200000000001,623.5744965769545
2016-08-29,627.75,627.75,618.1,619.05,1472092,HDFCBANK,2020-04-17 03:06:45,,,,633.4,,,,,,635.0506287188316,626.7,618.3493712811685
2016-08-30,622.55,635.25,621.975,634.325,4933804,HDFCBANK,2020-04-17 03:06:45,,,,618.1,,,,,,638.6009331595811,628.4200000000001,618.239066840419
2016-08-31,634.5,647.5,632.75,645.6,5580682,HDFCBANK,2020-04-17 03:06:45,,,,618.1,,,,,,648.6885486986095,631.36,614.0314513013906
2016-09-01,644.0,645.0,637.7,641.85,2612338,HDFCBANK,2020-04-17 03:06:45,,,,619.2760000000001,,,,,,652.8363290673445,633.875,614.9136709326555
2016-09-02,642.75,644.5,640.575,642.55,1977594,HDFCBANK,2020-04-17 03:06:45,,,,620.4049600000001,,,,,,655.7980750665455,636.675,617.5519249334544
2016-09-06,645.025,651.95,645.025,650.2,2754442,HDFCBANK,2020-04-17 03:06:45,,,,621.4887616000001,,,,,,653.3102102333594,642.905,632.4997897666406
2016-09-07,650.5,652.5,641.55,643.375,2008222,HDFCBANK,2020-04-17 03:06:45,,,,623.3164359040001,,,,,,650.7521847744625,644.7149999999999,638.6778152255373
